SPI,Smartwatch activity accuracy,EEG state accuracy,fMRI film accuracy
dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.399166667,0.594084187,0.482758621
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.658333333,0.591695108,0.482758621
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.6,0.596359499,0.534482759
dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.774166667,0.569397042,0.724137931
dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.76,0.554948805,0.586206897
dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.776666667,0.593174061,0.724137931
dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.780833333,0.633902162,0.655172414
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.803333333,0.606143345,0.655172414
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.813333333,0.617519909,0.620689655
dtw,0.806666667,0.546530148,0.844827586
dtw_constraint-itakura,0.775,0.530716724,0.913793103
dtw_constraint-sakoe-chiba,0.8825,0.604778157,0.810344828
gc_gaussian_k-1_kt-1_l-1_lt-1,0.849166667,0.624232082,0.586206897
gc_gaussian_k-max-10_tau-max-2,0.8575,0.628782708,0.586206897
gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.5,0.597269625,0.672413793
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.7025,0.545733788,0.603448276
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.705833333,0.575881684,0.706896552
gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.495,0.610921502,0.74137931
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.778333333,0.560978385,0.568965517
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.7325,0.577474403,0.655172414
gpfit_DotProduct,0.8275,0.612059158,0.862068966
gpfit_RBF,0.75,0.630261661,0.879310345
hhg,0.775833333,0.653242321,0.896551724
hsic,0.779166667,0.658361775,0.913793103
hsic_biased,0.780833333,0.656427759,0.913793103
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.54,0.553924915,0.568965517
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.709166667,0.581911263,0.517241379
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.74,0.60887372,0.534482759
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4875,0.603185438,0.620689655
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.6525,0.620477816,0.603448276
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.675833333,0.616609784,0.724137931
igci,0.5275,0.543117179,0.568965517
je_gaussian,0.804166667,0.620136519,0.913793103
je_kernel_W-0.5,0.828333333,0.613993174,0.793103448
je_kozachenko,0.52,0.566666667,0.706896552
kendalltau,0.899166667,0.64960182,0.810344828
lcss,0.8625,0.534584755,0.810344828
lcss_constraint-itakura,0.3875,0.545392491,0.586206897
lcss_constraint-sakoe-chiba,0.898333333,0.614334471,0.844827586
lmfit_BayesianRidge,0.833333333,0.618430034,0.862068966
lmfit_ElasticNet,0.703333333,0.631968146,0.862068966
lmfit_Ridge,0.829166667,0.616609784,0.862068966
lmfit_SGDRegressor,0.851666667,0.614220705,0.862068966
mgc,0.6575,0.650853242,0.862068966
mgcx_maxlag-1,0.7925,0.655062571,0.862068966
mgcx_maxlag-10,0.876666667,0.663594994,0.896551724
mi_gaussian,0.794166667,0.627872582,0.913793103
mi_kernel_W-0.25,0.6975,0.651535836,0.775862069
mi_kraskov_NN-4,0.615833333,0.64778157,0.810344828
mi_kraskov_NN-4_DCE,0.816666667,0.641183163,0.862068966
pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.75,0.567121729,0.724137931
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.749166667,0.552445961,0.586206897
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.748333333,0.584982935,0.724137931
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.78,0.639931741,0.655172414
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.810833333,0.622070535,0.655172414
