"SPI","Mean_Accuracy","p_value_bonferroni","significant","Directionality","Literature_category","Module"
"dtw_constraint-sakoe-chiba",88.25,0,TRUE,"Undirected","distance","M10"
"gc_gaussian_k-1_kt-1_l-1_lt-1",84.9166666666667,0,TRUE,"Directed","infotheory","M05"
"gc_gaussian_k-max-10_tau-max-2",85.75,0,TRUE,"Directed","infotheory","M05"
"gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",50,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",70.25,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",70.5833333333333,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",49.5,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",77.8333333333333,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",73.25,0,TRUE,"Directed","spectral","M06"
"gpfit_DotProduct",82.75,0,TRUE,"Directed","misc","M14"
"gpfit_RBF",75,0,TRUE,"Directed","misc","M14"
"hhg",77.5833333333333,0,TRUE,"Undirected","distance","M14"
"hsic",77.9166666666667,0,TRUE,"Undirected","distance","M14"
"hsic_biased",78.0833333333333,0,TRUE,"Undirected","distance","M14"
"icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",54,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_max_fs-1_fmin-0_fmax-0-25",70.9166666666667,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_max_fs-1_fmin-0_fmax-0-5",74,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",48.75,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",65.25,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",67.5833333333333,0,TRUE,"Undirected","spectral","M12"
"igci",52.75,0,TRUE,"Directed","causal","M03"
"je_gaussian",80.4166666666667,0,TRUE,"Undirected","infotheory","M14"
"je_kernel_W-0.5",82.8333333333333,0,TRUE,"Undirected","infotheory","M14"
"je_kozachenko",52,0,TRUE,"Undirected","infotheory","M14"
"kendalltau",89.9166666666667,0,TRUE,"Undirected","basic","M14"
"lcss",86.25,0,TRUE,"Undirected","distance","M10"
"lcss_constraint-itakura",38.75,0,TRUE,"Undirected","distance","M10"
"lcss_constraint-sakoe-chiba",89.8333333333333,0,TRUE,"Undirected","distance","M10"
"lmfit_BayesianRidge",83.3333333333333,0,TRUE,"Directed","misc","M14"
"lmfit_ElasticNet",70.3333333333333,0,TRUE,"Directed","misc","M14"
"lmfit_Ridge",82.9166666666667,0,TRUE,"Directed","misc","M14"
"lmfit_SGDRegressor",85.1666666666667,0,TRUE,"Directed","misc","M14"
"mgc",65.75,0,TRUE,"Undirected","distance","M14"
"mgcx_maxlag-1",79.25,0,TRUE,"Undirected","distance","M14"
"mgcx_maxlag-10",87.6666666666667,0,TRUE,"Undirected","distance","M14"
"mi_gaussian",79.4166666666667,0,TRUE,"Undirected","infotheory","M14"
"mi_kernel_W-0.25",69.75,0,TRUE,"Undirected","infotheory","M14"
"mi_kraskov_NN-4",61.5833333333333,0,TRUE,"Undirected","infotheory","M14"
"mi_kraskov_NN-4_DCE",81.6666666666667,0,TRUE,"Undirected","infotheory","M14"
"pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",75,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",74.9166666666667,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",74.8333333333333,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",78,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",81.0833333333333,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",82.4166666666667,0,TRUE,"Directed","spectral","M06"
"pec",83.5,0,TRUE,"Undirected","spectral","M11"
"pec_log",84.6666666666667,0,TRUE,"Undirected","spectral","M11"
"pec_orth",78.75,0,TRUE,"Undirected","spectral","M11"
"pec_orth_abs",70.5,0,TRUE,"Undirected","spectral","M11"
"pec_orth_log",82,0,TRUE,"Undirected","spectral","M11"
"pec_orth_log_abs",72.4166666666667,0,TRUE,"Undirected","spectral","M11"
"phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5",53.75,0,TRUE,"Undirected","spectral","M10"
"phase_multitaper_max_fs-1_fmin-0_fmax-0-25",47.5,0,TRUE,"Undirected","spectral","M10"
"phase_multitaper_max_fs-1_fmin-0_fmax-0-5",42.75,0,TRUE,"Undirected","spectral","M10"
"phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",56.5,0,TRUE,"Undirected","spectral","M01"
"phase_multitaper_mean_fs-1_fmin-0_fmax-0-25",77.3333333333333,0,TRUE,"Undirected","spectral","M01"
"phase_multitaper_mean_fs-1_fmin-0_fmax-0-5",69.25,0,TRUE,"Undirected","spectral","M01"
"phi_Geo_t-1_norm-0",86.0833333333333,0,TRUE,"Undirected","infotheory","M05"
"phi_Geo_t-1_norm-1",88.25,0,TRUE,"Undirected","infotheory","M05"
"phi_star_t-1_norm-0",86.4166666666667,0,TRUE,"Undirected","infotheory","M05"
"phi_star_t-1_norm-1",86.8333333333333,0,TRUE,"Undirected","infotheory","M05"
"pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5",44.75,0,TRUE,"Undirected","spectral","M07"
"pli_multitaper_max_fs-1_fmin-0_fmax-0-25",61.75,0,TRUE,"Undirected","spectral","M07"
"pli_multitaper_max_fs-1_fmin-0_fmax-0-5",52.5,0,TRUE,"Undirected","spectral","M07"
"pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",59,0,TRUE,"Undirected","spectral","M01"
"pli_multitaper_mean_fs-1_fmin-0_fmax-0-25",70.75,0,TRUE,"Undirected","spectral","M01"
"pli_multitaper_mean_fs-1_fmin-0_fmax-0-5",75.0833333333333,0,TRUE,"Undirected","spectral","M14"
"plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5",43.3333333333333,0,TRUE,"Undirected","spectral","M10"
"plv_multitaper_max_fs-1_fmin-0_fmax-0-25",57.3333333333333,0,TRUE,"Undirected","spectral","M12"
"plv_multitaper_max_fs-1_fmin-0_fmax-0-5",51.1666666666667,0,TRUE,"Undirected","spectral","M12"
